date,code,ipodate,code_nam,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
1999-11-10,sh.600000,1999-11-10,浦发银行,2.8607035000,2.8897954000,2.6182710000,2.6910007500,0.9697300000,174085055,4859102435.0000,2,54.401580,1,177.500000,0
1999-11-11,sh.600000,1999-11-10,浦发银行,2.6745153400,2.7520937400,2.6696666900,2.6871218300,2.6910007500,29403491,821582199.0000,2,9.188591,1,-0.144147,0
1999-11-12,sh.600000,1999-11-10,浦发银行,2.7016677800,2.7443359000,2.6929402100,2.7200926500,2.6871218300,15007963,421591623.0000,2,4.689988,1,1.226995,0
1999-11-15,sh.600000,1999-11-10,浦发银行,2.7346386000,2.7394872500,2.6861521000,2.6910007500,2.7200926500,11921071,332952812.0000,2,3.725335,1,-1.069516,0
1999-11-16,sh.600000,1999-11-10,浦发银行,2.7036072400,2.7123348100,2.5678450400,2.5746331500,2.6910007500,23223120,628908296.0000,2,7.257225,1,-4.324327,0
1999-11-17,sh.600000,1999-11-10,浦发银行,2.5697845000,2.6357261400,2.5571780100,2.6357261400,2.5746331500,10052566,268995055.0000,2,3.141427,1,2.372885,0
1999-11-18,sh.600000,1999-11-10,浦发银行,2.6376656000,2.6745153400,2.5969369400,2.6202104600,2.6357261400,8446529,229577879.0000,2,2.639540,1,-0.588668,0
1999-11-19,sh.600000,1999-11-10,浦发银行,2.6667575000,2.6696666900,2.5988764000,2.6066342400,2.6202104600,5374994,145887121.0000,2,1.679686,1,-0.518139,0
1999-11-22,sh.600000,1999-11-10,浦发银行,2.6066342400,2.6134223500,2.5503899000,2.5649358500,2.6066342400,5535421,147086153.0000,2,1.729819,1,-1.599697,0
1999-11-23,sh.600000,1999-11-10,浦发银行,2.5649358500,2.5746331500,2.5309953000,2.5649358500,2.5649358500,3843966,101224493.0000,2,1.201239,1,0.000000,0
1999-11-24,sh.600000,1999-11-10,浦发银行,2.5639661200,2.5746331500,2.5222677300,2.5629963900,2.5649358500,4098001,107344461.0000,2,1.280625,1,-0.075616,0
1999-11-25,sh.600000,1999-11-10,浦发银行,2.5503899000,2.5853001800,2.5232374600,2.5600872000,2.5629963900,5725292,150528185.0000,2,1.789154,1,-0.113510,0
